べおの,72,163
おぅゑ,78,167
ゅすめ,13,178
すつね,95,185
みずと,65,164
ほぅへ,40,178
ごろり,53,165
つれへ,55,177
そぇぶ,99,172
っめす,81,170
ぇぃそ,28,166
うけっ,39,158
べづっ,48,178
だちら,22,159
やふず,83,167
ぱぺぃ,93,169
ぜひぺ,30,158
のぴぼ,73,170
そよま,58,170
べたづ,53,168
ふてぇ,10,188
かむぁ,38,170
さべぇ,49,171
がぇょ,92,182
ざいこ,54,173
ゎぽっ,62,161
ぷゃに,33,170
ふだい,82,174
ぴべな,94,168
どぃっ,47,167
やべが,6,160
かきが,2,163
べべげ,3,188
ぃいい,82,165
ぷっぬ,65,170
ぐをゑ,7,156
うぉあ,75,173
ぅいぃ,26,167
くふょ,58,170
らろの,63,168
まのみ,3,184
ちほび,1,169
ふけみ,69,180
りぴち,15,160
すずざ,34,180
てびか,36,170
ょごち,41,170
ゐねぬ,66,183
こはは,61,168
ぁまょ,74,160
ぶぉう,9,162
はがち,74,155
ったば,88,168
ろちひ,46,151
びぇほ,37,159
ぼぺね,47,171
どかぱ,19,167
てぁら,18,167
さうぺ,52,192
ぎびみ,83,179
けじは,98,178
すたか,74,169
ぇちそ,3,158
ぜぇで,1,179
ぴおく,24,188
ぢびら,86,176
ふゎぢ,7,172
なにご,71,185
えじだ,64,153
ぞゑじ,64,165
ばとめ,66,156
わがお,42,170
ぶるむ,23,174
ごしに,38,165
ぜどの,85,170
りをっ,99,180
ぬそふ,47,163
しきぉ,51,171
てげお,6,167
はごぴ,26,169
びうぎ,21,176
ぁじぱ,82,178
むげか,46,168
っでつ,9,170
そまぺ,51,181
っゎむ,70,147
めかき,83,188
まゎた,57,170
うやを,46,173
せすば,38,170
ぶへぅ,34,172
だすが,23,181
おぼそ,71,170
ぃゎふ,27,159
もぷわ,35,159
とぺち,29,184
おまぽ,68,184
ぢいち,1,155
やうほ,33,170
ずなと,39,176
めもみ,38,157
ぼへち,33,176
ぃへわ,31,195
ぞその,65,162
まごぎ,17,162
しがい,55,182
るゎゆ,18,144
ぜざく,64,174
てゆろ,23,146
べきゅ,37,163
てねむ,10,169
どびほ,92,148
うぢじ,16,170
ゃりし,78,170
ぜえぺ,4,157
ろるが,94,161
ぽじね,46,160
りずね,25,188
やごぇ,42,170
もどぅ,64,177
らぺぉ,5,162
どゅず,63,174
ぅぁゅ,85,177
ずごぎ,49,164
ろると,29,171
ぁかて,8,165
くゆゑ,47,182
のぱち,87,149
うをべ,17,190
ぽょふ,99,171
よねぅ,21,184
ぎぐぼ,42,171
らばす,41,163
ぜがあ,66,162
ぐふな,71,183
ぉたあ,77,177
でだぎ,28,175
りこお,88,165
でてけ,41,165
のえた,85,169
ぱうご,41,177
まえぬ,46,164
ぶえな,49,188
あぁせ,81,178
らどべ,83,160
べぇて,79,165
すきぞ,72,162
すべせ,77,169
くごこ,68,163
やしぁ,28,170
ぎかと,25,160
つぴり,90,171
ゑさゆ,92,185
りよゎ,99,165
ぱはま,48,159
てにお,81,173
よへぜ,12,167
せゎひ,12,167
そょぃ,51,180
じのう,99,170
ゆおぼ,25,157
なぎゑ,70,168
ゃぴぢ,39,161
ぁゃが,72,172
ろそむ,1,171
ぅぬそ,1,140
ぢだろ,14,164
これど,11,151
かての,65,180
がゑょ,63,171
ぽげぅ,13,167
きどぢ,66,154
びげっ,2,163
ねすぼ,40,170
ちゑゎ,58,167
でぢぴ,94,165
めげあ,71,153
しゐさ,97,189
ふどよ,39,169
めれぞ,59,165
よむや,46,177
ぉやる,25,166
らうく,69,180
まもあ,42,170
さやせ,73,164
やりつ,40,162
ょたぁ,48,168
ぇふぎ,58,158
へゎぉ,15,172
ぽぐい,49,166
ぬぢぅ,60,165
いせと,78,160
ららこ,94,174
ぎみべ,86,168
ゅりう,62,173
ゐっず,85,179
ぺでな,71,174
ゆはぉ,47,171
いねゑ,67,182
もぉず,22,159
ぶぽぢ,11,174
くてじ,62,167
やしろ,66,188
るぃし,47,157
かずあ,86,177
でびゅ,28,175
べぶげ,80,165
ぬうて,61,168
ほづず,44,153
でぼも,25,178
へかか,1,166
ちせが,54,159
のぽゆ,39,176
いぞす,71,159
むりほ,71,164
じくど,20,167
ぶばい,38,168
のぅぜ,67,162
にぢき,65,151
うすぞ,53,178
ぐりり,56,167
さにが,95,170
そすも,1,153
みちめ,0,173
ゆふぐ,69,183
けぎぬ,94,168
ゃゃぼ,37,157
ょぎよ,11,161
ぐこげ,11,174
ぴっぁ,14,192
ぱぷっ,26,181
びをし,18,170
てをこ,11,169
ぶれあ,44,173
じべま,14,156
るぎろ,1,184
ぁでへ,20,170
ふつる,33,168
へっゐ,25,172
ぐたか,84,161
をぇよ,96,175
めしぐ,50,171
ょょぱ,43,157
のづだ,18,161
ぴこお,27,168
のかぇ,68,173
ゑらせ,63,159
せてう,77,170
しよよ,96,173
みさぬ,30,182
かぞそ,4,169
づりゅ,79,161
ぽくえ,43,172
りまひ,37,147
くろぅ,19,173
ゑゃぜ,31,160
づたぎ,36,177
ねっよ,93,173
ゎぺみ,81,170
じよふ,66,166
こをょ,18,189
わかゑ,50,160
どばは,78,164
ゐだぅ,53,156
りびゅ,47,174
ぱえゆ,58,168
ぷこだ,2,161
けょち,96,172
ぶねる,20,187
ぷなぽ,6,178
しぉけ,20,183
よゐゃ,60,159
ぶぶえ,58,163
ぐゅゆ,99,165
ぁのぶ,52,166
ぅびを,6,173
ょげぶ,20,162
ばづわ,44,171
そひえ,41,159
けべと,74,167
そぶど,6,180
たきざ,7,171
ぁっぉ,67,177
もゅつ,59,169
しほぺ,67,168
ぱぢゎ,14,174
おぉぬ,0,170
にひあ,56,178
つわゑ,66,173
ぢぽく,38,152
ったぼ,98,178
ぢつを,11,164
ぼむぃ,19,171
ゃやぉ,10,160
ぱゐょ,40,153
ばゃく,13,170
ずとゎ,73,181
おしか,22,173
めぴた,65,163
だてら,32,162
さかぜ,77,166
ねおほ,19,148
ゆでも,10,167
どりじ,28,176
みぢび,53,169
ずみや,45,168
ぱぁけ,73,174
ぽべの,0,171
のづを,29,174
えづげ,38,182
ゆぃず,45,174
ぜへも,57,190
たあば,88,177
ぞゆみ,68,166
けみめ,39,162
たぽざ,94,158
けぞぃ,89,160
ざぢた,37,158
ちうぬ,20,170
すやし,5,163
ざづろ,35,165
げずぶ,75,170
けにと,14,165
わごや,80,175
けてり,53,161
やもと,23,178
あのへ,66,149
ぜゅぜ,51,171
すぶお,14,170
いぞぺ,99,181
にえな,97,162
きみで,19,168
ぴゅゅ,93,174
ぷぢひ,55,173
ぃもつ,56,173
ぐねへ,85,170
じまど,8,186
すほで,80,151
ずれへ,10,179
ごゃえ,69,161
まむう,62,167
ごには,76,159
ばへも,4,177
るがつ,84,156
ぅゐぱ,69,168
そふぶ,11,162
ぴへへ,33,176
ぬふれ,63,169
ぜとの,39,170
あやも,4,149
ほゎど,60,179
めひぇ,88,179
ぇひづ,0,165
ぅぐづ,84,167
どゅま,45,171
べぺに,44,171
ゅをが,54,151
ちむょ,60,156
ぬがも,74,168
りらぺ,66,170
ぺわづ,39,172
よよぉ,45,175
ゑをら,34,160
そふげ,48,166
ゐれび,15,187
きゎさ,17,189
もへで,68,160
むずぢ,47,175
はりぞ,4,162
そげろ,53,158
がづそ,68,175
いぉぼ,74,161
ぇぱを,53,178
よそう,69,169
ほぎよ,39,178
むょぽ,5,159
ばゅわ,8,180
だむゅ,44,178
むかけ,4,164
をやせ,7,170
すぽゃ,66,172
こずる,89,176
こみぎ,18,170
げすつ,52,173
りぁも,41,188
らぱり,3,185
そぐて,73,172
ぃぬげ,0,167
わてい,19,166
だうよ,50,166
ぎもぞ,36,166
べぁに,78,170
むゐく,8,182
めれゃ,76,162
どぇる,3,182
おるょ,22,166
ほゑび,68,185
ぽぢあ,53,153
ほちら,28,165
はじさ,55,153
らはめ,48,179
にのさ,14,172
そでぜ,28,186
ぜぽど,76,170
だみす,77,169
ゅにざ,64,185
ざぺし,72,175
そたぶ,47,177
へめげ,49,154
ぽとゐ,48,172
なぺず,92,175
さよち,76,177
すぃど,65,154
ゎげご,54,162
けてま,1,180
べぼが,37,176
すもい,18,187
だてば,19,181
とずぽ,34,168
しどた,28,174
にもゐ,72,164
ゃばか,39,167
としだ,2,188
みれび,81,156
めたば,49,154
ぇぺち,88,172
あぎや,39,155
ぬえが,29,180
ぎゐだ,63,175
どすし,51,179
くびせ,26,187
いぎこ,36,160
わべろ,84,171
だゎゅ,44,188
たどり,45,175
ぬへみ,78,165
いにぎ,78,163
っずえ,68,177
ばぬち,33,172
ぶぶぉ,48,152
たへゑ,30,172
ぃやぱ,21,153
なすき,55,162
らはぇ,63,185
をしゎ,73,154
さそば,57,177
ぅゑぷ,73,168
ぺょた,87,183
ゆぴじ,29,160
どでび,38,186
ひぎゆ,73,174
じのこ,46,172
ぃずび,32,154
だおえ,47,189
ぷえや,76,168
ばてご,65,165
くぺし,55,179
っゑぬ,79,173
へひか,54,175
りぅず,63,172
のけす,14,175
みぎぱ,49,171
ひがぱ,31,181
ぃぶそ,77,170
まぶう,79,181
しをま,97,170
てわな,31,161
どぱぐ,50,178
でほる,41,167
ゎでぷ,30,157
れじせ,97,173
いぇつ,96,165
せぺつ,93,173
わぐぞ,19,155
じれけ,31,170
となゑ,98,166
ひひけ,90,165
ずひす,31,148
ばづそ,1,171
むきぁ,68,166
ょりひ,69,172
べずな,44,170
うそひ,0,156
ずっそ,14,155
てすぢ,62,188
めあぜ,60,170
ぺざぐ,41,164
むふれ,13,167
ぴちぴ,26,156
づくぇ,65,174
とあへ,65,173
ざぃぁ,8,174
やびで,48,169
がよい,56,163
づねぅ,87,164
ひぜこ,77,160
ぁせむ,89,178
さひけ,20,169
ぬじく,57,167
さぉく,28,178
めゆへ,97,170
さごづ,97,182
ぅっこ,96,178
でせづ,92,162
ぃぽか,37,163
いぃお,52,169
があゃ,39,200
れぽく,81,173
じりゃ,42,170
ゑひぅ,76,173
ょみじ,7,174
たぱゃ,27,166
